label,pattern
no_label,#
no_label,collector number
no_label,collector number:
no_label,no
no_label,no.
no_label,no.
no_label,num
no_label,num.
no_label,number
no_label,number:
not_name,agricultural
not_name,ambrosia
not_name,avenue
not_name,botanical
not_name,comuna
not_name,county
not_name,database
not_name,desc
not_name,ebc
not_name,elev
not_name,experiment
not_name,foray
not_name,gps
not_name,herbarium
not_name,institute
not_name,lat
not_name,latitude
not_name,line
not_name,lng
not_name,long
not_name,locality
not_name,longitude
not_name,list
not_name,national
not_name,of
not_name,plants
not_name,plantas
not_name,road
not_name,route
not_name,rt
not_name,service
not_name,state
not_name,station
not_name,the university
not_name,trail
not_name,
not_name,°
other_label,with:
other_label,w/
